"Kommun_code","Year","Kommun_name","Revenue","Index_market","Employee","Population","Population_University","Percent_University","CPI_index","Output","nation_Output","Productivity","AveOutput","AveEmployee","EmployeeIndex","SalesIndex","Infrast","Border","Laen_code","Patent"
1982,2010,"Fagersta",163,44,83,12443,792,0.0636502451177369,303.46,53.7138337836947,0.657543944256305,98.4199808321375,319.814357911762,486.377162629758,17.0649459672887,16.7953165500201,0,0,19,48
1982,2011,"Fagersta",159,43,78,12553,833,0.0663586393690751,311.43,51.0548116751758,0.625833625330461,104.58831886587,313.059736607348,500.228373702422,15.5928779934424,16.3083289561477,0,0,19,31
1982,2012,"Fagersta",148,39,73,12634,854,0.0675953775526357,314.2,47.1037555697008,0.622144281832325,103.714997381627,312.277680008987,501.937716262976,14.5436371156763,15.083932853717,0,0,19,32
1983,2001,"Köping",395,80,254,24750,1189,0.048040404040404,267.1,147.884687383003,0.634960354278071,91.6944144229615,229.66010682468,361.692041522491,70.2254876637106,64.3928496889086,0,0,19,94
1983,2002,"Köping",402,78,221,24647,1263,0.0512435590538402,272.8,147.360703812317,0.636571956102149,104.747076680968,236.679215415682,371.80276816609,59.4401168904896,62.2617848185386,0,0,19,94
1983,2003,"Köping",403,76,237,24585,1305,0.0530811470408786,278.1,144.911902193456,0.62705343107484,97.5104504636488,241.45679592987,385.065743944637,61.5479314187125,60.0156651774444,0,0,19,94
1983,2004,"Köping",416,74,236,24677,1383,0.0560440896381246,279.2,148.997134670487,0.628162204448897,100.506491238284,255.45552790474,406.671280276817,58.0321285140562,58.3260561603694,0,0,19,95
1983,2005,"Köping",428,71,228,24646,1491,0.06049663231356,280.4,152.639087018545,0.675913280515742,99.0466823488176,272.266756832799,402.813148788927,56.6019259017464,56.0623297512158,0,0,19,80
1983,2006,"Köping",438,67,225,24659,1559,0.0632223528934669,284.22,154.105974245303,0.697889490517439,98.140959334753,292.125915423478,418.584775086505,53.7525522645923,52.7532704593855,0,0,19,63
1983,2007,"Köping",460,66,233,24646,1621,0.065771321918364,290.51,158.342225740938,0.696518981133249,97.5681045879282,308.23254510413,442.532871972318,52.6514559159291,51.3710275751204,0,0,19,75
1983,2008,"Köping",472,67,252,24740,1693,0.0684316895715441,300.61,157.014071388177,0.655862927670821,95.0002943557999,302.904279176747,461.840830449827,54.5642531766962,51.8362011309052,0,0,19,86
1983,2009,"Köping",445,62,260,24847,1745,0.0702298064152614,299.66,148.501635186545,0.636977460813184,89.6672442073075,309.593086697796,486.034602076125,53.4941337282151,47.9667155266624,0,0,19,65
1983,2010,"Köping",470,63,243,24905,1782,0.0715518972093957,303.46,154.880379621696,0.657543944256305,96.931592624446,319.814357911762,486.377162629758,49.9612273500139,48.4282133650886,0,0,19,48
1983,2011,"Köping",488,66,237,24807,1824,0.0735276333293022,311.43,156.696528915005,0.625833625330461,105.64577579573,313.059736607348,500.228373702422,47.3783600569982,50.0532360415099,0,0,19,31
1983,2012,"Köping",481,65,235,24854,1866,0.0750784581958638,314.2,153.087205601528,0.622144281832325,104.708013314005,312.277680008987,501.937716262976,46.8185578381359,49.0227817745804,0,0,19,32
1984,2001,"Arboga",204,75,111,13616,709,0.0520710928319624,267.1,76.3758891800824,0.634960354278071,108.364415047102,229.66010682468,361.692041522491,30.6890910656373,33.2560540165502,0,0,19,94
1984,2002,"Arboga",211,74,114,13574,748,0.0551053484602917,272.8,77.3460410557185,0.636571956102149,106.582459036184,236.679215415682,371.80276816609,30.661417762515,32.6796930266458,0,0,19,94
1984,2003,"Arboga",211,72,117,13514,780,0.0577179221548024,278.1,75.8719884933477,0.62705343107484,103.416790658431,241.45679592987,385.065743944637,30.3844218396176,31.4225939266519,0,0,19,94
1984,2004,"Arboga",217,71,132,13406,813,0.0606444875428912,279.2,77.7220630372493,0.628162204448897,93.7343099740491,255.45552790474,406.671280276817,32.4586481519298,30.4248898721158,0,0,19,95
1984,2005,"Arboga",222,68,137,13380,857,0.064050822122571,280.4,79.1726105563481,0.675913280515742,85.4994691617394,272.266756832799,402.813148788927,34.0108063532423,29.0790588896493,0,0,19,80
1984,2006,"Arboga",240,68,134,13391,909,0.067881412889254,284.22,84.4416297234537,0.697889490517439,90.2953009622549,292.125915423478,418.584775086505,32.0126311264683,28.9059016215811,0,0,19,63
